x,y,class_id,class_name,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
654882.0002737474,5570591.03733635,10,Forest,0.09069892578125,0.09013399047851563,0.10357230224609375,0.15348856201171876,0.298909716796875,0.338621337890625,0.316572509765625,0.3589044921875,0.18752049560546874,0.11699710693359375
653241.7824251484,5589839.513273249,10,Forest,0.038017654418945314,0.05820582275390625,0.046809375,0.09163701782226563,0.2181283203125,0.261865576171875,0.338932177734375,0.2937122314453125,0.1979575927734375,0.11219400634765625
656648.4177118482,5589188.47839137,10,Forest,0.09094724731445313,0.09505875854492188,0.1305315185546875,0.1785,0.2533,0.2769,0.2832869140625,0.3228,0.3013,0.1928
652419.303686907,5589407.687511231,10,Forest,0.3419511962890625,0.32120068359375,0.05208099365234375,0.12750562744140626,0.3358892333984375,0.39109560546875,0.4053727783203125,0.418450927734375,0.2207703125,0.1113759521484375
653950.0440574703,5584027.620272851,10,Forest,0.07748219604492187,0.08632914428710937,0.040860379028320314,0.0885038330078125,0.18076480712890625,0.213571240234375,0.2234136474609375,0.234721044921875,0.19707696533203126,0.10897132568359374
651420.7725585653,5594478.834850027,10,Forest,0.449963134765625,0.4127478515625,0.7500625,0.747992822265625,0.73100634765625,0.73100068359375,0.71752626953125,0.728433935546875,0.1541675048828125,0.16354183349609375
660093.4013945839,5581632.235491457,10,Forest,0.03366144104003906,0.0620910400390625,0.029592709350585937,0.09292911987304688,0.328780322265625,0.3826040771484375,0.3623534912109375,0.4040241455078125,0.17253011474609375,0.08119625244140626
654057.1003597481,5585032.186665084,10,Forest,0.034082135009765625,0.046154153442382814,0.03099406433105469,0.07910032958984375,0.19078968505859376,0.2289201416015625,0.2365796875,0.24508349609375,0.141490869140625,0.07975887451171874
652800.5496213556,5595251.230079958,10,Forest,0.633923681640625,0.634545947265625,0.12976748046875,0.2515,0.3501,0.3809,0.174921142578125,0.4517,0.3207,0.3276
653517.5605424979,5581159.08587739,10,Forest,0.051434002685546876,0.06514154663085937,0.03675359497070312,0.09678399658203125,0.2946292724609375,0.3560537353515625,0.3313912353515625,0.3737985595703125,0.18087872314453124,0.09116891479492187
654956.1831394827,5576184.544729871,10,Forest,1.0825015625,0.98728291015625,0.0866150146484375,0.11635,0.2314,0.2542,0.2853219970703125,0.2583,0.16795,0.11265
650105.8234933313,5569674.945076818,10,Forest,0.06866116333007813,0.10450499267578126,0.07012588500976563,0.14996961669921874,0.40112275390625,0.476748193359375,0.499706982421875,0.495833740234375,0.18643275146484375,0.10339466552734375
